           y_out     y_out_norm         PT_out    density_out          u_out          v_out         ps_out          omega          angle
    -0.51856400      0.8365357       7682.991     0.07961189       59.99658     -119.05486       6949.318     0.10275053       -63.2546
    -0.51486500      0.8319061       7679.388     0.07960835       59.84500     -118.79468       6949.172     0.10712549       -63.2625
    -0.51116400      0.8272741       7675.694     0.07960474       59.68903     -118.52726       6949.021     0.11161228       -63.2707
    -0.50745800      0.8226358       7671.960     0.07960107       59.53142     -118.25655       6948.862     0.11614769       -63.2789
    -0.50374800      0.8179925       7668.194     0.07959734       59.37239     -117.98318       6948.697     0.12072116       -63.2872
    -0.50003300      0.8133429       7664.400     0.07959356       59.21194     -117.70743       6948.525     0.12532964       -63.2956
    -0.49631600      0.8086909       7660.651     0.07958981       59.05247     -117.43525       6948.347     0.12988247       -63.3044
    -0.49259400      0.8040325       7656.950     0.07958606       58.89435     -117.16644       6948.166     0.13437679       -63.3134
    -0.48886900      0.7993705       7653.298     0.07958231       58.73764     -116.90103       6947.984     0.13881259       -63.3225
    -0.48513900      0.7947021       7649.704     0.07957857       58.58277     -116.63966       6947.800     0.14317832       -63.3317
    -0.48140600      0.7900300       7646.233     0.07957490       58.43197     -116.38726       6947.621     0.14739286       -63.3412
    -0.47766900      0.7853529       7642.850     0.07957127       58.28421     -116.14130       6947.441     0.15150220       -63.3507
    -0.47392800      0.7806708       7639.547     0.07956767       58.13938     -115.90128       6947.260     0.15551379       -63.3604
    -0.47018300      0.7759837       7636.334     0.07956411       57.99799     -115.66804       6947.077     0.15941539       -63.3700
    -0.46643400      0.7712916       7633.239     0.07956062       57.86125     -115.44408       6946.890     0.16317452       -63.3797
    -0.46268200      0.7665957       7630.427     0.07955722       57.73573     -115.24282       6946.700     0.16659016       -63.3895
    -0.45892600      0.7618949       7627.835     0.07955386       57.61921     -115.05901       6946.510     0.16973796       -63.3992
    -0.45516600      0.7571890       7625.476     0.07955057       57.51204     -114.89359       6946.321     0.17260343       -63.4089
    -0.45140200      0.7524781       7623.362     0.07954735       57.41472     -114.74782       6946.134     0.17517043       -63.4187
    -0.44763400      0.7477622       7621.524     0.07954422       57.32839     -114.62408       6945.950     0.17740295       -63.4284
    -0.44386300      0.7430426       7620.052     0.07954118       57.25691     -114.53007       6945.768     0.17919121       -63.4382
    -0.44008800      0.7383179       7618.766     0.07953812       57.19352     -114.45158       6945.580     0.18075298       -63.4479
