Points:1,rho,u1,u2,t,p
0.509616,1.00112,0.692327,0.687005,1.03425,12.4663
0.508618,1.00111,0.69269,0.68715,1.03425,12.4661
0.507621,1.0011,0.693065,0.687309,1.03424,12.4659
0.506623,1.00109,0.693446,0.687477,1.03424,12.4658
0.505625,1.00108,0.693831,0.68765,1.03424,12.4656
0.504628,1.00107,0.69422,0.687832,1.03423,12.4654
0.50363,1.00106,0.694622,0.688028,1.03423,12.4652
0.502632,1.00105,0.695039,0.688241,1.03422,12.465
0.501635,1.00104,0.695473,0.688472,1.03422,12.4649
0.500637,1.00103,0.69592,0.688717,1.03422,12.4647
0.49964,1.00102,0.696372,0.688969,1.03421,12.4645
0.498642,1.00101,0.696822,0.68922,1.03421,12.4643
0.497644,1.001,0.697265,0.689467,1.0342,12.4641
0.496647,1.00099,0.697702,0.689709,1.0342,12.464
0.495649,1.00097,0.698132,0.689947,1.03419,12.4638
0.494651,1.00096,0.698555,0.690179,1.03419,12.4636
0.493654,1.00095,0.698967,0.690402,1.03418,12.4634
0.492656,1.00094,0.699364,0.690609,1.03418,12.4632
0.491659,1.00093,0.699737,0.690793,1.03418,12.463
0.490661,1.00092,0.700082,0.690947,1.03417,12.4628
0.489663,1.00091,0.700396,0.691072,1.03417,12.4626
0.488666,1.0009,0.700687,0.691174,1.03416,12.4625
0.487668,1.00089,0.700968,0.691265,1.03416,12.4623
0.48667,1.00088,0.701245,0.691351,1.03415,12.4621
0.485673,1.00087,0.701519,0.691435,1.03415,12.4619
0.484675,1.00086,0.70179,0.691516,1.03414,12.4617
0.483678,1.00085,0.702057,0.691595,1.03414,12.4615
0.48268,1.00083,0.702323,0.691674,1.03413,12.4613
0.481682,1.00082,0.702587,0.691752,1.03413,12.4611
0.480685,1.00081,0.702841,0.691824,1.03412,12.4609
0.479687,1.0008,0.703073,0.691877,1.03412,12.4607
0.478689,1.00079,0.70327,0.6919,1.03411,12.4605
0.477692,1.00078,0.703425,0.691885,1.03411,12.4603
0.476694,1.00076,0.703536,0.691831,1.0341,12.4601
0.475697,1.00075,0.703609,0.691743,1.0341,12.4599
0.474699,1.00074,0.703655,0.691632,1.0341,12.4597
0.473701,1.00073,0.703685,0.691508,1.03409,12.4594
0.472704,1.00071,0.703706,0.691377,1.03409,12.4592
0.471706,1.0007,0.703716,0.691238,1.03408,12.459
0.470708,1.00069,0.703714,0.691088,1.03408,12.4588
0.469711,1.00068,0.703699,0.69093,1.03407,12.4586
0.468713,1.00066,0.703679,0.690768,1.03407,12.4584
0.467716,1.00065,0.703663,0.690613,1.03406,12.4581
0.466718,1.00064,0.703663,0.690476,1.03406,12.4579
0.46572,1.00063,0.703688,0.690365,1.03405,12.4577
0.464723,1.00061,0.70374,0.690283,1.03405,12.4575
0.463725,1.0006,0.703817,0.690229,1.03404,12.4572
0.462727,1.00059,0.703912,0.690198,1.03404,12.457
0.46173,1.00057,0.704023,0.690184,1.03403,12.4568
0.460732,1.00056,0.704147,0.690188,1.03403,12.4566
0.459735,1.00055,0.704289,0.690211,1.03402,12.4564
0.458737,1.00054,0.704449,0.690255,1.03402,12.4562
0.457739,1.00052,0.704622,0.690315,1.03401,12.4559
0.456742,1.00051,0.704799,0.690379,1.03401,12.4557
0.455744,1.0005,0.704966,0.690437,1.034,12.4555
0.454746,1.00049,0.705114,0.690477,1.034,12.4553
0.453749,1.00047,0.705241,0.6905,1.03399,12.4551
0.452751,1.00046,0.705353,0.690511,1.03399,12.4549
0.451754,1.00045,0.705461,0.69052,1.03398,12.4546
0.450756,1.00044,0.705573,0.690535,1.03398,12.4544
0.449758,1.00042,0.705698,0.690563,1.03397,12.4542
0.448761,1.00041,0.70584,0.690608,1.03396,12.454
0.447763,1.0004,0.706004,0.690673,1.03396,12.4538
0.446765,1.00039,0.706192,0.69076,1.03395,12.4536
0.445768,1.00037,0.706404,0.690867,1.03395,12.4534
0.44477,1.00036,0.706634,0.69099,1.03394,12.4531
0.443773,1.00035,0.706877,0.691125,1.03394,12.4529
0.442775,1.00034,0.707128,0.691269,1.03393,12.4527
0.441777,1.00033,0.707385,0.691419,1.03393,12.4525
0.44078,1.00031,0.70765,0.691578,1.03392,12.4523
0.439782,1.0003,0.707927,0.691755,1.03392,12.452
0.438784,1.00029,0.708228,0.691959,1.03391,12.4518
0.437787,1.00027,0.708558,0.692196,1.03391,12.4516
0.436789,1.00026,0.708917,0.692467,1.0339,12.4514
0.435792,1.00025,0.709297,0.692764,1.0339,12.4511
0.434794,1.00023,0.709686,0.693076,1.03389,12.4509
0.433796,1.00022,0.710069,0.693389,1.03389,12.4507
0.432799,1.00021,0.710438,0.693696,1.03388,12.4504
0.431801,1.00019,0.710787,0.693988,1.03388,12.4502
0.430803,1.00018,0.711115,0.694264,1.03387,12.45
0.429806,1.00017,0.711428,0.694529,1.03386,12.4497
0.428808,1.00015,0.711732,0.694789,1.03386,12.4495
0.427811,1.00014,0.712037,0.69505,1.03385,12.4493
0.426813,1.00013,0.712353,0.695324,1.03385,12.449
0.425815,1.00011,0.712688,0.695616,1.03384,12.4488
0.424818,1.0001,0.713041,0.695927,1.03384,12.4486
0.42382,1.00008,0.713401,0.696245,1.03383,12.4483
0.422822,1.00007,0.713751,0.696556,1.03382,12.4481
0.421825,1.00006,0.714077,0.696848,1.03382,12.4478
0.420827,1.00004,0.714373,0.697113,1.03381,12.4476
0.41983,1.00003,0.714642,0.697357,1.03381,12.4474
0.418832,1.00002,0.714893,0.697588,1.0338,12.4471
0.417834,1,0.715135,0.697813,1.0338,12.4469
0.416837,0.999991,0.715373,0.698038,1.03379,12.4467
0.415839,0.999977,0.715612,0.698268,1.03378,12.4464
0.414841,0.999964,0.715851,0.698501,1.03378,12.4462
0.413844,0.999951,0.716083,0.69873,1.03377,12.4459
0.412846,0.999937,0.7163,0.698947,1.03377,12.4457
0.411849,0.999924,0.716495,0.699144,1.03376,12.4455
0.410851,0.99991,0.716671,0.699323,1.03375,12.4452
0.409853,0.999896,0.716831,0.699486,1.03375,12.445
0.408856,0.999883,0.716981,0.699638,1.03374,12.4447
0.407858,0.999869,0.717125,0.699784,1.03374,12.4445
0.40686,0.999856,0.717265,0.699925,1.03373,12.4443
0.405863,0.999842,0.717401,0.700063,1.03372,12.444
0.404865,0.999829,0.717534,0.700199,1.03372,12.4438
0.403868,0.999816,0.717665,0.700333,1.03371,12.4435
0.40287,0.999802,0.717793,0.700466,1.03371,12.4433
0.401872,0.999789,0.717915,0.700595,1.0337,12.4431
0.400875,0.999775,0.718025,0.700715,1.0337,12.4428
0.399877,0.999761,0.718116,0.700818,1.03369,12.4426
0.398879,0.999747,0.718185,0.700902,1.03368,12.4423
0.397882,0.999734,0.718229,0.700964,1.03368,12.4421
0.396884,0.99972,0.718251,0.701006,1.03367,12.4419
0.395887,0.999705,0.718252,0.70103,1.03367,12.4416
0.394889,0.999691,0.718237,0.70104,1.03366,12.4414
0.393891,0.999678,0.71821,0.701042,1.03366,12.4411
0.392894,0.999664,0.718183,0.701047,1.03365,12.4409
0.391896,0.99965,0.718164,0.701063,1.03364,12.4407
0.390898,0.999636,0.718161,0.701099,1.03364,12.4404
0.389901,0.999623,0.718177,0.701155,1.03363,12.4402
0.388903,0.999609,0.718213,0.701235,1.03363,12.4399
0.387906,0.999595,0.718271,0.701336,1.03362,12.4397
0.386908,0.999581,0.71835,0.701461,1.03361,12.4394
0.38591,0.999568,0.718451,0.701609,1.03361,12.4392
0.384913,0.999554,0.71857,0.701778,1.0336,12.439
0.383915,0.99954,0.718707,0.701966,1.0336,12.4387
0.382917,0.999526,0.718864,0.702176,1.03359,12.4385
0.38192,0.999512,0.719043,0.702411,1.03359,12.4383
0.380922,0.999499,0.719245,0.702671,1.03358,12.438
0.379925,0.999485,0.719468,0.702955,1.03358,12.4378
0.378927,0.999472,0.719709,0.703259,1.03357,12.4376
0.377929,0.999458,0.719969,0.703585,1.03357,12.4373
0.376932,0.999445,0.720244,0.703929,1.03356,12.4371
0.375934,0.999432,0.720531,0.704286,1.03355,12.4369
0.374936,0.999419,0.720824,0.704654,1.03355,12.4366
0.373939,0.999406,0.721123,0.70503,1.03354,12.4364
0.372941,0.999392,0.721432,0.705419,1.03354,12.4362
0.371944,0.999379,0.721757,0.705825,1.03353,12.4359
0.370946,0.999366,0.722097,0.706249,1.03353,12.4357
0.369948,0.999352,0.722445,0.706682,1.03352,12.4355
0.368951,0.999339,0.72279,0.707114,1.03352,12.4352
0.367953,0.999326,0.723124,0.707537,1.03351,12.435
0.366955,0.999313,0.723442,0.707947,1.03351,12.4348
0.365958,0.9993,0.723747,0.708346,1.0335,12.4346
0.36496,0.999287,0.724037,0.708731,1.03349,12.4343
0.363963,0.999274,0.724314,0.709103,1.03349,12.4341
0.362965,0.999261,0.724574,0.709459,1.03348,12.4339
0.361967,0.999249,0.724814,0.709796,1.03348,12.4337
0.36097,0.999236,0.725031,0.710111,1.03347,12.4334
0.359972,0.999223,0.725222,0.710402,1.03347,12.4332
0.358974,0.99921,0.72539,0.710672,1.03346,12.433
0.357977,0.999198,0.725545,0.710928,1.03346,12.4328
0.356979,0.999185,0.725692,0.711178,1.03345,12.4326
0.355982,0.999172,0.725838,0.711426,1.03345,12.4323
0.354984,0.99916,0.725981,0.711672,1.03344,12.4321
0.353986,0.999147,0.726119,0.711914,1.03344,12.4319
0.352989,0.999134,0.726252,0.712154,1.03343,12.4317
0.351991,0.999121,0.726377,0.712388,1.03342,12.4314
0.350993,0.999109,0.726486,0.712609,1.03342,12.4312
0.349996,0.999096,0.726563,0.712802,1.03341,12.431
0.348998,0.999083,0.726596,0.712956,1.03341,12.4308
0.348001,0.99907,0.726583,0.713068,1.0334,12.4305
0.347003,0.999057,0.726529,0.713144,1.0334,12.4303
0.346005,0.999044,0.726446,0.713194,1.03339,12.4301
0.345008,0.99903,0.726342,0.713227,1.03339,12.4299
0.34401,0.999017,0.726223,0.713249,1.03338,12.4296
0.343012,0.999004,0.726091,0.713259,1.03338,12.4294
0.342015,0.998991,0.725944,0.713256,1.03337,12.4292
0.341017,0.998977,0.725782,0.713243,1.03337,12.429
0.34002,0.998964,0.725615,0.713226,1.03336,12.4287
0.339022,0.998951,0.725453,0.713218,1.03336,12.4285
0.338024,0.998938,0.725307,0.713226,1.03335,12.4283
0.337027,0.998925,0.725179,0.713256,1.03335,12.4281
0.336029,0.998912,0.72507,0.713306,1.03334,12.4278
0.335031,0.998899,0.724977,0.713375,1.03334,12.4276
0.334034,0.998887,0.724898,0.713461,1.03333,12.4274
0.333036,0.998874,0.724833,0.713565,1.03333,12.4272
0.332039,0.998862,0.724787,0.713691,1.03332,12.427
0.331041,0.998849,0.724766,0.713844,1.03332,12.4268
0.330043,0.998837,0.724768,0.714022,1.03331,12.4266
0.329046,0.998825,0.724784,0.714217,1.03331,12.4263
0.328048,0.998813,0.724802,0.714415,1.0333,12.4261
0.32705,0.998801,0.724807,0.714602,1.0333,12.4259
0.326053,0.998789,0.72479,0.71477,1.03329,12.4257
0.325055,0.998778,0.724749,0.714915,1.03329,12.4255
0.324058,0.998766,0.724691,0.715047,1.03328,12.4253
0.32306,0.998755,0.724628,0.715176,1.03328,12.4251
0.322062,0.998744,0.724573,0.715313,1.03328,12.4249
0.321065,0.998733,0.724531,0.715465,1.03327,12.4247
0.320067,0.998722,0.724508,0.715634,1.03327,12.4246
0.319069,0.998711,0.724503,0.715822,1.03326,12.4244
0.318072,0.9987,0.724521,0.716029,1.03326,12.4242
0.317074,0.998689,0.724563,0.716259,1.03325,12.424
0.316077,0.998678,0.724627,0.716508,1.03325,12.4238
0.315079,0.998668,0.724709,0.716774,1.03324,12.4236
0.314081,0.998657,0.724803,0.717052,1.03324,12.4234
0.313084,0.998646,0.724906,0.717341,1.03323,12.4232
0.312086,0.998636,0.72502,0.717643,1.03323,12.4231
0.311088,0.998625,0.725149,0.717964,1.03323,12.4229
0.310091,0.998614,0.725301,0.718312,1.03322,12.4227
0.309093,0.998603,0.725476,0.71869,1.03322,12.4225
0.308096,0.998592,0.725672,0.719092,1.03321,12.4223
0.307098,0.998581,0.725873,0.719506,1.03321,12.4221
0.3061,0.99857,0.726066,0.719918,1.0332,12.4219
0.305103,0.998559,0.726239,0.720316,1.0332,12.4217
0.304105,0.998548,0.726388,0.720696,1.0332,12.4215
0.303107,0.998537,0.726516,0.72106,1.03319,12.4214
0.30211,0.998527,0.726631,0.721414,1.03319,12.4212
0.301112,0.998516,0.726743,0.721768,1.03318,12.421
0.300115,0.998506,0.726863,0.72213,1.03318,12.4208
0.299117,0.998495,0.726996,0.722508,1.03317,12.4206
0.298119,0.998485,0.727144,0.722901,1.03317,12.4204
0.297122,0.998474,0.727299,0.723303,1.03316,12.4203
0.296124,0.998464,0.72745,0.723702,1.03316,12.4201
0.295126,0.998454,0.727585,0.724087,1.03316,12.4199
0.294129,0.998443,0.727695,0.724449,1.03315,12.4197
0.293131,0.998433,0.727778,0.724786,1.03315,12.4195
0.292134,0.998424,0.727835,0.725101,1.03314,12.4194
0.291136,0.998414,0.72787,0.725399,1.03314,12.4192
0.290138,0.998405,0.727892,0.725686,1.03313,12.419
0.289141,0.998395,0.727907,0.72597,1.03313,12.4189
0.288143,0.998386,0.727924,0.726259,1.03313,12.4187
0.287145,0.998377,0.727949,0.726559,1.03312,12.4185
0.286148,0.998367,0.727978,0.726866,1.03312,12.4184
0.28515,0.998358,0.728003,0.72717,1.03311,12.4182
0.284153,0.998349,0.728011,0.727459,1.03311,12.418
0.283155,0.998339,0.727995,0.727724,1.0331,12.4179
0.282157,0.99833,0.727956,0.727964,1.0331,12.4177
0.28116,0.998321,0.727898,0.728185,1.0331,12.4175
0.280162,0.998312,0.727828,0.728392,1.03309,12.4174
0.279164,0.998303,0.727748,0.728589,1.03309,12.4172
0.278167,0.998294,0.727661,0.72878,1.03308,12.4171
0.277169,0.998286,0.727573,0.728969,1.03308,12.4169
0.276172,0.998277,0.727487,0.729161,1.03308,12.4168
0.275174,0.998269,0.727402,0.729356,1.03307,12.4166
0.274176,0.99826,0.727316,0.729551,1.03307,12.4165
0.273179,0.998252,0.727222,0.72974,1.03307,12.4163
0.272181,0.998244,0.727114,0.729916,1.03306,12.4162
0.271183,0.998235,0.726985,0.730071,1.03306,12.416
0.270186,0.998227,0.726833,0.730203,1.03306,12.4159
0.269188,0.998219,0.726656,0.730311,1.03305,12.4157
0.268191,0.99821,0.726457,0.730398,1.03305,12.4156
0.267193,0.998202,0.726241,0.730469,1.03304,12.4154
0.266195,0.998194,0.726016,0.730532,1.03304,12.4153
0.265198,0.998186,0.725789,0.730596,1.03304,12.4152
0.2642,0.998178,0.725569,0.73067,1.03303,12.415
0.263202,0.998171,0.725362,0.73076,1.03303,12.4149
0.262205,0.998163,0.725169,0.730868,1.03303,12.4148
0.261207,0.998155,0.72499,0.730993,1.03303,12.4146
0.26021,0.998148,0.724828,0.731137,1.03302,12.4145
0.259212,0.99814,0.724685,0.731302,1.03302,12.4144
0.258214,0.998133,0.724565,0.73149,1.03302,12.4142
0.257217,0.998126,0.724466,0.731701,1.03301,12.4141
0.256219,0.998118,0.724386,0.731933,1.03301,12.414
0.255221,0.998111,0.724328,0.732188,1.03301,12.4139
0.254224,0.998104,0.72429,0.732465,1.03301,12.4137
0.253226,0.998097,0.72427,0.732764,1.033,12.4136
0.252229,0.998091,0.724266,0.733079,1.033,12.4135
0.251231,0.998084,0.724273,0.733409,1.033,12.4134
0.250233,0.998078,0.724294,0.733754,1.033,12.4133
0.249236,0.998072,0.724327,0.734112,1.03299,12.4132
0.248238,0.998066,0.724371,0.734483,1.03299,12.4131
0.24724,0.998061,0.724423,0.734864,1.03299,12.413
0.246243,0.998055,0.724485,0.735257,1.03299,12.4129
0.245245,0.998049,0.724561,0.735666,1.03298,12.4128
0.244248,0.998043,0.724656,0.736097,1.03298,12.4127
0.24325,0.998038,0.724769,0.736547,1.03298,12.4126
0.242252,0.998032,0.724891,0.737007,1.03298,12.4125
0.241255,0.998027,0.725007,0.737462,1.03297,12.4124
0.240257,0.998022,0.725102,0.737898,1.03297,12.4123
0.239259,0.998016,0.725172,0.73831,1.03297,12.4122
0.238262,0.998012,0.725219,0.7387,1.03297,12.4121
0.237264,0.998007,0.725248,0.739073,1.03297,12.4121
0.236267,0.998002,0.725264,0.739433,1.03296,12.412
0.235269,0.997998,0.725268,0.739781,1.03296,12.4119
0.234271,0.997994,0.72526,0.740114,1.03296,12.4118
0.233274,0.99799,0.725235,0.740431,1.03296,12.4117
0.232276,0.997986,0.725189,0.740726,1.03296,12.4117
0.231278,0.997982,0.725124,0.741,1.03295,12.4116
0.230281,0.997978,0.725044,0.741259,1.03295,12.4115
0.229283,0.997974,0.724959,0.741511,1.03295,12.4115
0.228286,0.99797,0.724873,0.741758,1.03295,12.4114
0.227288,0.997966,0.724783,0.742,1.03295,12.4113
0.22629,0.997962,0.724686,0.742233,1.03295,12.4113
0.225293,0.997959,0.724575,0.742452,1.03294,12.4112
0.224295,0.997955,0.724446,0.742654,1.03294,12.4111
0.223297,0.997952,0.724291,0.74283,1.03294,12.4111
0.2223,0.997948,0.7241,0.742971,1.03294,12.411
0.221302,0.997945,0.72387,0.743076,1.03294,12.411
0.220305,0.997941,0.723607,0.743148,1.03294,12.4109
0.219307,0.997938,0.723318,0.743197,1.03294,12.4108
0.218309,0.997934,0.723009,0.743229,1.03294,12.4108
0.217312,0.997931,0.722683,0.743244,1.03293,12.4107
0.216314,0.997927,0.722338,0.743243,1.03293,12.4107
0.215316,0.997924,0.721975,0.743225,1.03293,12.4106
0.214319,0.997921,0.721596,0.743192,1.03293,12.4106
0.213321,0.997918,0.721207,0.743151,1.03293,12.4105
0.212324,0.997915,0.720816,0.743109,1.03293,12.4105
0.211326,0.997912,0.720431,0.743074,1.03293,12.4104
0.210328,0.997909,0.720057,0.743053,1.03293,12.4104
0.209331,0.997907,0.719697,0.743045,1.03293,12.4103
0.208333,0.997904,0.719349,0.743051,1.03293,12.4103
0.207335,0.997902,0.719013,0.74307,1.03293,12.4103
0.206338,0.9979,0.718694,0.743106,1.03292,12.4102
0.20534,0.997898,0.718394,0.743164,1.03292,12.4102
0.204343,0.997896,0.718118,0.743247,1.03292,12.4102
0.203345,0.997895,0.717864,0.743355,1.03292,12.4102
0.202347,0.997894,0.717628,0.743483,1.03292,12.4101
0.20135,0.997893,0.717402,0.743622,1.03292,12.4101
0.200352,0.997892,0.717179,0.743764,1.03292,12.4101
0.199354,0.997891,0.71695,0.743902,1.03292,12.4101
0.198357,0.997891,0.71671,0.744028,1.03292,12.4101
0.197359,0.997891,0.716454,0.744137,1.03292,12.4101
0.196362,0.997891,0.716181,0.744229,1.03292,12.4101
0.195364,0.997891,0.715899,0.744312,1.03292,12.4101
0.194366,0.997891,0.715615,0.744393,1.03292,12.4101
0.193369,0.997891,0.715339,0.744482,1.03292,12.4101
0.192371,0.997892,0.715076,0.744583,1.03292,12.4101
0.191373,0.997892,0.714828,0.744701,1.03292,12.4101
0.190376,0.997893,0.714598,0.744836,1.03292,12.4101
0.189378,0.997894,0.714387,0.744989,1.03292,12.4102
0.188381,0.997895,0.714193,0.745159,1.03293,12.4102
0.187383,0.997897,0.714016,0.745343,1.03293,12.4102
0.186385,0.997898,0.713857,0.745543,1.03293,12.4102
0.185388,0.997899,0.713715,0.745757,1.03293,12.4103
0.18439,0.997901,0.713591,0.745987,1.03293,12.4103
0.183392,0.997902,0.713486,0.746236,1.03293,12.4103
0.182395,0.997904,0.713402,0.746506,1.03293,12.4103
0.181397,0.997905,0.713337,0.746799,1.03293,12.4104
0.1804,0.997907,0.713287,0.747108,1.03293,12.4104
0.179402,0.997909,0.713239,0.747424,1.03293,12.4104
0.178404,0.99791,0.713182,0.747732,1.03293,12.4105
0.177407,0.997912,0.713104,0.748022,1.03293,12.4105
0.176409,0.997914,0.713002,0.74829,1.03293,12.4105
0.175411,0.997917,0.71288,0.748542,1.03294,12.4106
0.174414,0.997919,0.71275,0.748787,1.03294,12.4106
0.173416,0.997922,0.712619,0.749035,1.03294,12.4107
0.172419,0.997924,0.712497,0.749292,1.03294,12.4107
0.171421,0.997927,0.712389,0.749563,1.03294,12.4107
0.170423,0.99793,0.712295,0.749848,1.03294,12.4108
0.169426,0.997932,0.712207,0.750139,1.03294,12.4108
0.168428,0.997935,0.712115,0.750425,1.03294,12.4109
0.16743,0.997938,0.712008,0.750693,1.03294,12.4109
0.166433,0.997941,0.711877,0.750935,1.03294,12.411
0.165435,0.997944,0.71172,0.751148,1.03295,12.411
0.164438,0.997948,0.711537,0.751336,1.03295,12.4111
0.16344,0.997952,0.711332,0.751501,1.03295,12.4112
0.162442,0.997956,0.71111,0.751649,1.03295,12.4112
0.161445,0.99796,0.710876,0.751784,1.03295,12.4113
0.160447,0.997965,0.710636,0.751914,1.03295,12.4114
