"$ \overline{\rho}$","$ \widetilde{u_1}$","$ \widetilde{u_2}$","$ \widetilde{T}$","$ \overline{p}$","$ \overline{\mu} $","$ \rho'$","$ T'$","$ p' $","$ \tau_{11}$","$ \tau_{12}$","$ \tau_{22}$","$ \tau_{33}$","$ \tau_{13}$","$ \tau_{23}$","$ \widetilde{u_3}$","$ \frac{\partial \widetilde{u}_{1}}{\partial x_1}$","$ \frac{\partial \widetilde{u}_{1}}{\partial x_2}$","$ \frac{\partial \widetilde{u}_{2}}{\partial x_1}$","$ \frac{\partial \widetilde{u}_{2}}{\partial x_2}$","$ \frac{\partial \widetilde{T}}{\partial x_1}$","$ \frac{\partial \widetilde{T}}{\partial x_2}$","$ \frac{\partial \overline{p}}{\partial x_1}$","$ \frac{\partial \overline{p}}{\partial x_2}$","$ S_{12}\left(\widetilde{u}\right)$","$ \Omega_{12}\left(\widetilde{u}\right)$","$  \left|\left| \vec{\widetilde{u}}\right|\right| $","$ \alpha_3 $","$ I_t$","$ I_{t,\tau}$","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.948251,0.753245,-1.49961,1.01224,11.5566,1.60972e-05,0.000588954,0.000377622,0.00747974,-0.00256471,-0.000583971,-0.00114734,-0.0019036,-3.95274e-05,-5.76934e-05,0.00129951,-0.0723944,-0.0306107,0.0276291,0.0807958,0.00266485,0.00336331,-0.00204751,0.088586,-0.00149085,-0.0291199,1.67816,-0.0192914,1000,0.00206634,1,0.0369121,1.26,0.0158879,0
0.948247,0.753275,-1.4997,1.01224,11.5565,1.60971e-05,0.000586486,0.000374303,0.00748887,-0.00256076,-0.000582659,-0.00114537,-0.00189283,-4.33664e-05,-5.37739e-05,0.00136401,-0.072036,-0.0298751,0.0268041,0.0803936,0.00267072,0.00335629,-0.0011647,0.0885732,-0.00153552,-0.0283396,1.67825,-0.0192915,1000,0.00206045,1,0.0379097,1.26,0.0148902,0
0.948243,0.753305,-1.49978,1.01223,11.5565,1.60971e-05,0.000584003,0.000370988,0.00749824,-0.00255698,-0.000581324,-0.00114336,-0.00188263,-4.74332e-05,-4.96706e-05,0.00142798,-0.0717921,-0.0291991,0.0262516,0.0801082,0.00266446,0.00334294,-0.000297353,0.0885536,-0.00147376,-0.0277253,1.67833,-0.0192916,1000,0.00205483,1,0.0389074,1.26,0.0138926,0
0.948239,0.753334,-1.49985,1.01223,11.5564,1.6097e-05,0.000581527,0.000367716,0.00750786,-0.00255334,-0.00057997,-0.00114132,-0.00187303,-5.1705e-05,-4.54546e-05,0.00149193,-0.071784,-0.0286422,0.0262359,0.0800592,0.00264815,0.00332399,0.000556137,0.0885251,-0.00120315,-0.027439,1.67842,-0.0192917,1000,0.00204948,1,0.039905,1.26,0.012895,0
0.948235,0.753362,-1.49993,1.01223,11.5563,1.6097e-05,0.000579067,0.000364512,0.00751777,-0.00254984,-0.000578611,-0.00113923,-0.00186405,-5.61533e-05,-4.12022e-05,0.00155614,-0.0721282,-0.028277,0.0269983,0.0803597,0.00262398,0.00330056,0.00139114,0.0884827,-0.000639319,-0.0276376,1.6785,-0.0192918,1000,0.0020444,1,0.0409026,1.26,0.0118974,0
0.94823,0.75339,-1.50002,1.01222,11.5562,1.6097e-05,0.000576627,0.000361375,0.007528,-0.00254643,-0.00057727,-0.0011371,-0.00185572,-6.07429e-05,-3.69924e-05,0.00162065,-0.0728855,-0.028159,0.0286561,0.0810735,0.00259419,0.00327406,0.00220969,0.0884287,0.000248551,-0.0284075,1.67858,-0.0192919,1000,0.00203959,1,0.0419003,1.26,0.0108997,0
0.948226,0.753418,-1.5001,1.01222,11.5561,1.60969e-05,0.000574203,0.000358283,0.00753863,-0.0025431,-0.000575971,-0.00113488,-0.00184809,-6.54303e-05,-3.29043e-05,0.00168521,-0.0740578,-0.0283099,0.0311883,0.0822003,0.00256222,0.00324658,0.00300722,0.0883545,0.00143922,-0.0297491,1.67867,-0.0192921,1000,0.00203502,1,0.0428979,1.26,0.00990213,0
0.948222,0.753447,-1.50018,1.01222,11.556,1.60969e-05,0.000571787,0.000355202,0.0075497,-0.00253981,-0.000574741,-0.00113257,-0.00184115,-7.0164e-05,-2.90125e-05,0.00174935,-0.0755561,-0.0286686,0.0344202,0.0836561,0.00253175,0.0032197,0.00378939,0.0882692,0.00287576,-0.0315444,1.67876,-0.0192922,1000,0.00203069,1,0.0438955,1.26,0.0089045,0
0.948218,0.753476,-1.50026,1.01221,11.5559,1.60968e-05,0.000569375,0.000352097,0.00756128,-0.00253653,-0.000573599,-0.00113014,-0.00183493,-7.48843e-05,-2.53839e-05,0.00181249,-0.0772846,-0.0291633,0.038135,0.0853392,0.00250755,0.00319584,0.00455191,0.0881737,0.00448582,-0.0336492,1.67884,-0.0192923,1000,0.00202659,1,0.0448931,1.26,0.00790687,0
0.948214,0.753505,-1.50035,1.01221,11.5558,1.60968e-05,0.000566964,0.000348929,0.00757345,-0.00253324,-0.000572559,-0.0011276,-0.00182942,-7.95292e-05,-2.20741e-05,0.00187401,-0.0791192,-0.0296999,0.0421124,0.0871331,0.00249208,0.00317625,0.0053023,0.0880663,0.00620622,-0.0359061,1.67893,-0.0192924,1000,0.00202269,1,0.0458907,1.26,0.00690925,0
0.948209,0.753535,-1.50044,1.01221,11.5557,1.60968e-05,0.000564555,0.000345662,0.00758625,-0.00252991,-0.000571628,-0.00112497,-0.00182458,-8.40411e-05,-1.91157e-05,0.00193332,-0.080965,-0.0302248,0.0461416,0.0889378,0.00248685,0.00316161,0.00603579,0.0879473,0.0079584,-0.0381832,1.67903,-0.0192926,1000,0.00201899,1,0.0468884,1.26,0.00591162,0
0.948205,0.753565,-1.50053,1.0122,11.5557,1.60967e-05,0.00056215,0.000342264,0.00759975,-0.00252653,-0.000570806,-0.00112228,-0.00182038,-8.8374e-05,-1.65186e-05,0.00198992,-0.0827093,-0.0306737,0.0499935,0.0906368,0.00249166,0.00315176,0.00676272,0.0878144,0.00965986,-0.0403336,1.67912,-0.0192927,1000,0.00201547,1,0.047886,1.26,0.004914,0
